,AWAY_LAST_GAME_OE,HOME_LAST_GAME_OE,HOME_W,SEASON
0,0.6129032258064516,0.5555555555555556,Win,2020
1,0.5,0.5739130434782609,Win,2020
2,0.6124031007751938,0.5847457627118644,Win,2020
3,0.539568345323741,0.6097560975609756,Win,2020
4,0.7272727272727273,0.512396694214876,Win,2020
5,0.6666666666666666,0.6229508196721312,Win,2020
6,0.5966386554621849,0.5490196078431373,Win,2020
7,0.5217391304347826,0.514018691588785,Win,2020
8,0.4583333333333333,0.6695652173913044,Win,2020
9,0.4684684684684684,0.5967741935483871,Win,2020
10,0.5431034482758621,0.52,Win,2020
11,0.640625,0.6090909090909091,Win,2020
12,0.6090909090909091,0.6015625,Win,2020
13,0.5363636363636364,0.5849056603773585,Win,2020
14,0.552,0.6018518518518519,Win,2020
15,0.5161290322580645,0.5486725663716814,Win,2020
16,0.5413533834586466,0.5495495495495496,Loss,2020
17,0.5603448275862069,0.4727272727272727,Loss,2020
18,0.6428571428571429,0.5939849624060151,Loss,2020
19,0.6507936507936508,0.5772357723577236,Win,2020
20,0.6386554621848739,0.6017699115044248,Loss,2020
21,0.5862068965517241,0.5142857142857142,Win,2020
22,0.4017857142857143,0.6115702479338843,Win,2020
23,0.6,0.5075757575757576,Loss,2020
24,0.6120689655172413,0.5929203539823009,Loss,2020
25,0.5192307692307693,0.4811320754716981,Win,2020
26,0.6581196581196581,0.635593220338983,Win,2020
27,0.5576923076923077,0.5897435897435898,Loss,2020
28,0.5925925925925926,0.6097560975609756,Win,2020
29,0.5603448275862069,0.6283185840707964,Win,2020
30,0.6033057851239669,0.5826086956521739,Loss,2020
31,0.5272727272727272,0.628099173553719,Win,2020
32,0.5247524752475248,0.5043478260869565,Loss,2020
33,0.4174757281553398,0.6336633663366337,Win,2020
34,0.5645161290322581,0.5267857142857143,Win,2020
35,0.5470085470085471,0.6090225563909775,Loss,2020
36,0.5504587155963303,0.5901639344262295,Loss,2020
37,0.5272727272727272,0.5739130434782609,Loss,2020
